Date,Category,Lat,Long,Value
2024-09-29T19:04:43.228Z,Trash,38.006418,-7.8555386,1
2024-09-22T19:50:54.097Z,Trash,38.004138,-7.867242,1
2024-09-24T17:52:06.587Z,Trash,38.01550159,-7.874549218,1
2024-09-16T19:41:28.770Z,Trash,38.01702455,-7.873383697,1
2024-09-16T19:35:24.242Z,Trash,38.02200145,-7.861747562,1
2024-09-27T19:36:08.385Z,Trash,38.0055562,-7.866579087,1
2024-09-21T15:31:57.089Z,Trash,38.0167866,-7.8689044,1
2024-09-16T12:36:31.558Z,Trash,37.57391925,-8.665815353,1
2024-09-27T08:02:46.469Z,Trash,38.01438528,-7.862903948,1
2024-09-27T19:35:56.937Z,Trash,38.00541572,-7.86757472,1
2024-09-27T08:06:21.247Z,Trash,38.0171895,-7.871957717,1
2024-09-22T18:05:36.118Z,Trash,38.0044703,-7.8669024,1
2024-09-24T17:54:00.093Z,Trash,38.01763635,-7.873143046,1
2024-09-27T19:34:29.769Z,Trash,38.00631339,-7.869637943,1
2024-09-22T19:29:33.877Z,Trash,38.0161697,-7.8738383,1
2024-09-29T19:06:45.246Z,Trash,38.0114777,-7.8533999,1
2024-09-27T08:02:07.120Z,Trash,38.0143026,-7.863066684,1
2024-09-22T17:47:30.720Z,UrbFurn,38.0202586,-7.8742037,1
2024-09-04T07:10:23.107Z,Trash,38.0077335,-7.872855354,1
2024-09-04T07:10:19.371Z,Trash,38.00974172,-7.874164078,1
2024-09-23T18:04:36.502Z,Trash,38.00618221,-7.869983425,1
2024-09-05T18:42:57.887Z,Trash,38.01376042,-7.85988709,1
2024-09-16T19:36:52.929Z,Trash,38.01864275,-7.869103581,1
2024-09-16T19:36:28.667Z,Trash,38.02055646,-7.862352759,1
2024-09-22T19:32:13.699Z,Trash,38.0060914,-7.8698374,1
2024-09-23T18:04:43.805Z,Trash,38.00592926,-7.870554669,1
2024-09-05T18:41:30.729Z,Trash,38.01127712,-7.860530686,1
2024-09-22T17:59:19.741Z,Trash,38.0068836,-7.8693932,1
2024-09-04T07:09:53.505Z,Trash,38.00994519,-7.874004607,1
2024-09-29T19:04:56.332Z,Trash,38.0063758,-7.8555458,1
2024-10-01T07:06:19.320Z,Trash,37.04116347,-7.83801907,1
2024-09-17T18:42:04.667Z,Trash,38.0143925,-7.8731986,1
2024-09-21T15:31:33.022Z,Trash,38.0167866,-7.8689044,1
2024-09-27T08:01:32.146Z,Trash,38.0136424,-7.862586064,1
2024-09-27T19:34:19.146Z,Trash,38.00646345,-7.869783549,1
2024-09-06T06:34:39.674Z,SideWalk,37.04167205,-7.838578034,1
2024-09-04T07:17:35.767Z,Trash,38.00491936,-7.86539556,1
2024-09-22T19:51:02.328Z,Trash,38.0042883,-7.8675068,1
2024-09-22T19:58:07.815Z,Trash,38.0125836,-7.8751975,1
2024-09-29T19:09:24.205Z,Trash,38.0133655,-7.8554003,1
2024-09-29T19:11:07.277Z,Trash,38.0126751,-7.8536633,1
2024-09-22T17:46:03.680Z,Access,38.0099379,-7.8748345,1
2024-09-22T17:36:26.776Z,Trash,38.0133625,-7.8726488,1
2024-09-23T18:03:59.241Z,Trash,38.0098892,-7.874003061,1
2024-09-28T09:47:35.602Z,Trash,38.0244965,-7.8612829,1
2024-09-24T17:51:35.044Z,Trash,38.01550159,-7.874549218,1
2024-09-22T19:55:50.763Z,Trash,38.0129265,-7.875328,1
2024-09-24T17:52:15.708Z,Trash,38.01550159,-7.874549218,1
